,ctrl_A,ctrl_A_TEX,ctrl_B,ctrl_B_TEX,inf_A,inf_A_TEX,inf_B,inf_B_TEX
ID=cds-AAG05558.1;Parent=gene-PA2170;Dbxref=NCBI_GP:AAG05558.1;Name=AAG05558.1;Note=Product name confidence: Class 4 (Homologs of previously reported genes of unknown function%2C or no similarity to any previously reported sequences);gbkey=CDS;product=hypothetical protein;protein_id=AAG05558.1;transl_table=11,0,1,0,0,2,1,0,0
ID=cds-AAG05559.1;Parent=gene-PA2171;Dbxref=NCBI_GP:AAG05559.1;Name=AAG05559.1;Note=Product name confidence: Class 4 (Homologs of previously reported genes of unknown function%2C or no similarity to any previously reported sequences);gbkey=CDS;product=hypothetical protein;protein_id=AAG05559.1;transl_table=11,2,3.861111111,4,8,0,19,1,16
ID=cds-AAG05560.1;Parent=gene-PA2172;Dbxref=NCBI_GP:AAG05560.1;Name=AAG05560.1;Note=Product name confidence: Class 4 (Homologs of previously reported genes of unknown function%2C or no similarity to any previously reported sequences);gbkey=CDS;product=hypothetical protein;protein_id=AAG05560.1;transl_table=11,0,4.375,1,5.875,0,8.9,4,2.375
ID=cds-AAG05561.1;Parent=gene-PA2173;Dbxref=NCBI_GP:AAG05561.1;Name=AAG05561.1;Note=Product name confidence: Class 4 (Homologs of previously reported genes of unknown function%2C or no similarity to any previously reported sequences);gbkey=CDS;product=hypothetical protein;protein_id=AAG05561.1;transl_table=11,0,1,1,0,0,0,0,1
ID=cds-AAG05562.1;Parent=gene-PA2174;Dbxref=NCBI_GP:AAG05562.1;Name=AAG05562.1;Note=Product name confidence: Class 4 (Homologs of previously reported genes of unknown function%2C or no similarity to any previously reported sequences);gbkey=CDS;product=hypothetical protein;protein_id=AAG05562.1;transl_table=11,1,62,1,55,5,111,6,95
ID=cds-AAG05563.1;Parent=gene-PA2175;Dbxref=NCBI_GP:AAG05563.1;Name=AAG05563.1;Note=Product name confidence: Class 4 (Homologs of previously reported genes of unknown function%2C or no similarity to any previously reported sequences);gbkey=CDS;product=hypothetical protein;protein_id=AAG05563.1;transl_table=11,1,10,0,7,1,8.5,2,5.5
ID=cds-AAG05564.1;Parent=gene-PA2176;Dbxref=NCBI_GP:AAG05564.1;Name=AAG05564.1;Note=Product name confidence: Class 4 (Homologs of previously reported genes of unknown function%2C or no similarity to any previously reported sequences);gbkey=CDS;product=hypothetical protein;protein_id=AAG05564.1;transl_table=11,0,2,1,1,1,10.2,2,21
ID=cds-AAG05565.1;Parent=gene-PA2177;Dbxref=NCBI_GP:AAG05565.1;Name=AAG05565.1;Note=Product name confidence: Class 3 (Function proposed based on presence of conserved amino acid motif%2C structural feature or limited sequence similarity to an experimentally studied gene);gbkey=CDS;product=probable sensor/response regulator hybrid;protein_id=AAG05565.1;transl_table=11,4.5,13.4,1,28.5,8,43,9.5,61.2
ID=cds-AAG05566.1;Parent=gene-PA2178;Dbxref=NCBI_GP:AAG05566.1;Name=AAG05566.1;Note=Product name confidence: Class 4 (Homologs of previously reported genes of unknown function%2C or no similarity to any previously reported sequences);gbkey=CDS;product=hypothetical protein;protein_id=AAG05566.1;transl_table=11,1,6.333333333,0,8,0,7,2,4
ID=cds-AAG05567.1;Parent=gene-PA2179;Dbxref=NCBI_GP:AAG05567.1;Name=AAG05567.1;Note=Product name confidence: Class 4 (Homologs of previously reported genes of unknown function%2C or no similarity to any previously reported sequences);gbkey=CDS;product=hypothetical protein;protein_id=AAG05567.1;transl_table=11,0,0,0,2,0,1,1,3
ID=cds-AAG05568.1;Parent=gene-PA2180;Dbxref=NCBI_GP:AAG05568.1;Name=AAG05568.1;Note=Product name confidence: Class 4 (Homologs of previously reported genes of unknown function%2C or no similarity to any previously reported sequences);gbkey=CDS;product=hypothetical protein;protein_id=AAG05568.1;transl_table=11,0,0.285714286,1,4.142857143,1.166666667,4.75,0,1.5
ID=cds-AAG05569.1;Parent=gene-PA2181;Dbxref=NCBI_GP:AAG05569.1;Name=AAG05569.1;Note=Product name confidence: Class 4 (Homologs of previously reported genes of unknown function%2C or no similarity to any previously reported sequences);gbkey=CDS;product=hypothetical protein;protein_id=AAG05569.1;transl_table=11,0,4.333333333,0,3.333333333,1,6.333333333,0,8
ID=cds-AAG05570.1;Parent=gene-PA2182;Dbxref=NCBI_GP:AAG05570.1;Name=AAG05570.1;Note=Product name confidence: Class 4 (Homologs of previously reported genes of unknown function%2C or no similarity to any previously reported sequences);gbkey=CDS;product=hypothetical protein;protein_id=AAG05570.1;transl_table=11,0,0,3,1,1,3,0,2.5
ID=cds-AAG05571.1;Parent=gene-PA2183;Dbxref=NCBI_GP:AAG05571.1;Name=AAG05571.1;Note=Product name confidence: Class 4 (Homologs of previously reported genes of unknown function%2C or no similarity to any previously reported sequences);gbkey=CDS;product=hypothetical protein;protein_id=AAG05571.1;transl_table=11,0,11,0,17,0,8,0,17
ID=cds-AAG05572.1;Parent=gene-PA2184;Dbxref=NCBI_GP:AAG05572.1;Name=AAG05572.1;Note=Product name confidence: Class 4 (Homologs of previously reported genes of unknown function%2C or no similarity to any previously reported sequences);gbkey=CDS;product=conserved hypothetical protein;protein_id=AAG05572.1;transl_table=11,1,10,1,17,3,11.16666667,3,24
ID=cds-AAG05573.1;Parent=gene-PA2185;Dbxref=NCBI_GP:AAG05573.1;Name=AAG05573.1;Note=Product name confidence: Class 2 (High similarity to functionally studied protein);gbkey=CDS;gene=katN;product=non-heme catalase KatN;protein_id=AAG05573.1;transl_table=11,5,23,5,17,9,19,4,46
ID=cds-AAG05574.1;Parent=gene-PA2186;Dbxref=NCBI_GP:AAG05574.1;Name=AAG05574.1;Note=Product name confidence: Class 4 (Homologs of previously reported genes of unknown function%2C or no similarity to any previously reported sequences);gbkey=CDS;product=hypothetical protein;protein_id=AAG05574.1;transl_table=11,1,0,0,0,0,0,0,0
ID=cds-AAG05575.1;Parent=gene-PA2187;Dbxref=NCBI_GP:AAG05575.1;Name=AAG05575.1;Note=Product name confidence: Class 4 (Homologs of previously reported genes of unknown function%2C or no similarity to any previously reported sequences);gbkey=CDS;product=hypothetical protein;protein_id=AAG05575.1;transl_table=11,0,3,1,7,0,11,0,15
ID=cds-AAG05576.1;Parent=gene-PA2188;Dbxref=NCBI_GP:AAG05576.1;Name=AAG05576.1;Note=Product name confidence: Class 3 (Function proposed based on presence of conserved amino acid motif%2C structural feature or limited sequence similarity to an experimentally studied gene);gbkey=CDS;product=probable alcohol dehydrogenase (Zn-dependent);protein_id=AAG05576.1;transl_table=11,2,6,3,4,2,5,0,2.366666667
ID=cds-AAG05577.1;Parent=gene-PA2189;Dbxref=NCBI_GP:AAG05577.1;Name=AAG05577.1;Note=Product name confidence: Class 4 (Homologs of previously reported genes of unknown function%2C or no similarity to any previously reported sequences);gbkey=CDS;product=hypothetical protein;protein_id=AAG05577.1;transl_table=11,4,20,0,36.5,1,30.2,2,24
ID=cds-AAG05578.1;Parent=gene-PA2190;Dbxref=NCBI_GP:AAG05578.1;Name=AAG05578.1;Note=Product name confidence: Class 4 (Homologs of previously reported genes of unknown function%2C or no similarity to any previously reported sequences);gbkey=CDS;product=conserved hypothetical protein;protein_id=AAG05578.1;transl_table=11,1,0,0,2,1,2,1,2
ID=cds-AAG05579.1;Parent=gene-PA2191;Dbxref=NCBI_GP:AAG05579.1;Name=AAG05579.1;Note=Product name confidence: Class 1 (Function experimentally demonstrated in P. aeruginosa);gbkey=CDS;gene=exoY;product=adenylate cyclase ExoY;protein_id=AAG05579.1;transl_table=11,55,247,43,222.5,14.5,249.25,10,167.1666667
ID=cds-AAG05580.1;Parent=gene-PA2192;Dbxref=NCBI_GP:AAG05580.1;Name=AAG05580.1;Note=Product name confidence: Class 4 (Homologs of previously reported genes of unknown function%2C or no similarity to any previously reported sequences);gbkey=CDS;product=conserved hypothetical protein;protein_id=AAG05580.1;transl_table=11,2,0,0,1,1,0,0,4.5
ID=cds-AAG05581.1;Parent=gene-PA2193;Dbxref=NCBI_GP:AAG05581.1;Name=AAG05581.1;Note=Product name confidence: Class 2 (High similarity to functionally studied protein);gbkey=CDS;gene=hcnA;product=hydrogen cyanide synthase HcnA;protein_id=AAG05581.1;transl_table=11,0,7,1,9,2,4,1,5
ID=cds-AAG05582.1;Parent=gene-PA2194;Dbxref=NCBI_GP:AAG05582.1;Name=AAG05582.1;Note=Product name confidence: Class 2 (High similarity to functionally studied protein);gbkey=CDS;gene=hcnB;product=hydrogen cyanide synthase HcnB;protein_id=AAG05582.1;transl_table=11,6,7,2,3.025641026,1,6,0,11
ID=cds-AAG05583.1;Parent=gene-PA2195;Dbxref=NCBI_GP:AAG05583.1;Name=AAG05583.1;Note=Product name confidence: Class 2 (High similarity to functionally studied protein);gbkey=CDS;gene=hcnC;product=hydrogen cyanide synthase HcnC;protein_id=AAG05583.1;transl_table=11,7,9.666666667,5,6,5,8.5,2,16
ID=cds-AAG05584.1;Parent=gene-PA2196;Dbxref=NCBI_GP:AAG05584.1;Name=AAG05584.1;Note=Product name confidence: Class 3 (Function proposed based on presence of conserved amino acid motif%2C structural feature or limited sequence similarity to an experimentally studied gene);gbkey=CDS;product=probable transcriptional regulator;protein_id=AAG05584.1;transl_table=11,55,126,32,148,54,322,49,223
ID=cds-AAG05585.1;Parent=gene-PA2197;Dbxref=NCBI_GP:AAG05585.1;Name=AAG05585.1;Note=Product name confidence: Class 4 (Homologs of previously reported genes of unknown function%2C or no similarity to any previously reported sequences);gbkey=CDS;product=conserved hypothetical protein;protein_id=AAG05585.1;transl_table=11,45,36,34,35,35,45,16,45
ID=cds-AAG05586.1;Parent=gene-PA2198;Dbxref=NCBI_GP:AAG05586.1;Name=AAG05586.1;Note=Product name confidence: Class 4 (Homologs of previously reported genes of unknown function%2C or no similarity to any previously reported sequences);gbkey=CDS;product=hypothetical protein;protein_id=AAG05586.1;transl_table=11,10,13,7,4,7,10,1,2
ID=cds-AAG05587.1;Parent=gene-PA2199;Dbxref=NCBI_GP:AAG05587.1;Name=AAG05587.1;Note=Product name confidence: Class 3 (Function proposed based on presence of conserved amino acid motif%2C structural feature or limited sequence similarity to an experimentally studied gene);gbkey=CDS;product=probable dehydrogenase;protein_id=AAG05587.1;transl_table=11,88,453,83,513,61,428,46,452.25
ID=cds-AAG05588.1;Parent=gene-PA2200;Dbxref=NCBI_GP:AAG05588.1;Name=AAG05588.1;Note=Product name confidence: Class 4 (Homologs of previously reported genes of unknown function%2C or no similarity to any previously reported sequences);gbkey=CDS;product=conserved hypothetical protein;protein_id=AAG05588.1;transl_table=11,43,110,45.5,114.7,19,131,12,161
ID=cds-AAG05589.1;Parent=gene-PA2201;Dbxref=NCBI_GP:AAG05589.1;Name=AAG05589.1;Note=Product name confidence: Class 4 (Homologs of previously reported genes of unknown function%2C or no similarity to any previously reported sequences);gbkey=CDS;product=hypothetical protein;protein_id=AAG05589.1;transl_table=11,16,9,20,9,16.5,15,13,4
ID=cds-AAG05590.1;Parent=gene-PA2202;Dbxref=NCBI_GP:AAG05590.1;Name=AAG05590.1;Note=Product name confidence: Class 3 (Function proposed based on presence of conserved amino acid motif%2C structural feature or limited sequence similarity to an experimentally studied gene);gbkey=CDS;product=probable amino acid permease;protein_id=AAG05590.1;transl_table=11,6,8,5,11,0,3,0,7
ID=cds-AAG05591.1;Parent=gene-PA2203;Dbxref=NCBI_GP:AAG05591.1;Name=AAG05591.1;Note=Product name confidence: Class 3 (Function proposed based on presence of conserved amino acid motif%2C structural feature or limited sequence similarity to an experimentally studied gene);gbkey=CDS;product=probable amino acid permease;protein_id=AAG05591.1;transl_table=11,7,2,10,3.166666667,0.5,2.5,1,1
ID=cds-AAG05592.1;Parent=gene-PA2204;Dbxref=NCBI_GP:AAG05592.1;Name=AAG05592.1;Note=Product name confidence: Class 3 (Function proposed based on presence of conserved amino acid motif%2C structural feature or limited sequence similarity to an experimentally studied gene);gbkey=CDS;product=probable binding protein component of ABC transporter;protein_id=AAG05592.1;transl_table=11,74,31.5,48,34.5,17.25,4.076923077,6,4
ID=cds-AAG05593.1;Parent=gene-PA2205;Dbxref=NCBI_GP:AAG05593.1;Name=AAG05593.1;Note=Product name confidence: Class 4 (Homologs of previously reported genes of unknown function%2C or no similarity to any previously reported sequences);gbkey=CDS;product=hypothetical protein;protein_id=AAG05593.1;transl_table=11,11,50,15,38,11,34,7,30
ID=cds-AAG05594.1;Parent=gene-PA2206;Dbxref=NCBI_GP:AAG05594.1;Name=AAG05594.1;Note=Product name confidence: Class 3 (Function proposed based on presence of conserved amino acid motif%2C structural feature or limited sequence similarity to an experimentally studied gene);gbkey=CDS;product=probable transcriptional regulator;protein_id=AAG05594.1;transl_table=11,3,13,6,14.33333333,12,19.25,2,28
ID=cds-AAG05595.1;Parent=gene-PA2207;Dbxref=NCBI_GP:AAG05595.1;Name=AAG05595.1;Note=Product name confidence: Class 4 (Homologs of previously reported genes of unknown function%2C or no similarity to any previously reported sequences);gbkey=CDS;product=hypothetical protein;protein_id=AAG05595.1;transl_table=11,1,9.2,1,10.2,1,18.91666667,1,18
ID=cds-AAG05596.1;Parent=gene-PA2208;Dbxref=NCBI_GP:AAG05596.1;Name=AAG05596.1;Note=Product name confidence: Class 4 (Homologs of previously reported genes of unknown function%2C or no similarity to any previously reported sequences);gbkey=CDS;product=hypothetical protein;protein_id=AAG05596.1;transl_table=11,1,4.333333333,0,4,0,4.333333333,0,11.01052632
ID=cds-AAG05597.1;Parent=gene-PA2209;Dbxref=NCBI_GP:AAG05597.1;Name=AAG05597.1;Note=Product name confidence: Class 4 (Homologs of previously reported genes of unknown function%2C or no similarity to any previously reported sequences);gbkey=CDS;product=hypothetical protein;protein_id=AAG05597.1;transl_table=11,0,28,3,26.14285714,2,38.5,0,22
ID=cds-AAG05598.1;Parent=gene-PA2210;Dbxref=NCBI_GP:AAG05598.1;Name=AAG05598.1;Note=Product name confidence: Class 3 (Function proposed based on presence of conserved amino acid motif%2C structural feature or limited sequence similarity to an experimentally studied gene);gbkey=CDS;product=probable major facilitator superfamily (MFS) transporter;protein_id=AAG05598.1;transl_table=11,1,4.142857143,2,5.071428571,1,20.21590909,0,14.5
ID=cds-AAG05599.1;Parent=gene-PA2211;Dbxref=NCBI_GP:AAG05599.1;Name=AAG05599.1;Note=Product name confidence: Class 4 (Homologs of previously reported genes of unknown function%2C or no similarity to any previously reported sequences);gbkey=CDS;product=conserved hypothetical protein;protein_id=AAG05599.1;transl_table=11,2,2.375,0,5,1,0,1,12.1
ID=cds-AAG05600.1;Parent=gene-PA2212;Dbxref=NCBI_GP:AAG05600.1;Name=AAG05600.1;Note=Product name confidence: Class 4 (Homologs of previously reported genes of unknown function%2C or no similarity to any previously reported sequences);gbkey=CDS;product=conserved hypothetical protein;protein_id=AAG05600.1;transl_table=11,1,2.2,0,0.111111111,4,1,0,3
ID=cds-AAG05601.1;Parent=gene-PA2213;Dbxref=NCBI_GP:AAG05601.1;Name=AAG05601.1;Note=Product name confidence: Class 3 (Function proposed based on presence of conserved amino acid motif%2C structural feature or limited sequence similarity to an experimentally studied gene);gbkey=CDS;product=probable porin;protein_id=AAG05601.1;transl_table=11,0,3.2,2.75,11,3.5,10.5,0.75,16.25
ID=cds-AAG05602.1;Parent=gene-PA2214;Dbxref=NCBI_GP:AAG05602.1;Name=AAG05602.1;Note=Product name confidence: Class 3 (Function proposed based on presence of conserved amino acid motif%2C structural feature or limited sequence similarity to an experimentally studied gene);gbkey=CDS;product=probable major facilitator superfamily (MFS) transporter;protein_id=AAG05602.1;transl_table=11,1,8.071428571,0,12.11111111,0,30,1,8
ID=cds-AAG05603.1;Parent=gene-PA2215;Dbxref=NCBI_GP:AAG05603.1;Name=AAG05603.1;Note=Product name confidence: Class 4 (Homologs of previously reported genes of unknown function%2C or no similarity to any previously reported sequences);gbkey=CDS;product=hypothetical protein;protein_id=AAG05603.1;transl_table=11,3,28.5,3,24.14285714,5,31,1,37
ID=cds-AAG05604.1;Parent=gene-PA2216;Dbxref=NCBI_GP:AAG05604.1;Name=AAG05604.1;Note=Product name confidence: Class 4 (Homologs of previously reported genes of unknown function%2C or no similarity to any previously reported sequences);gbkey=CDS;product=conserved hypothetical protein;protein_id=AAG05604.1;transl_table=11,3,3.321428571,0,1.283333333,1,5.75,0,2.083333333
ID=cds-AAG05605.1;Parent=gene-PA2217;Dbxref=NCBI_GP:AAG05605.1;Name=AAG05605.1;Note=Product name confidence: Class 3 (Function proposed based on presence of conserved amino acid motif%2C structural feature or limited sequence similarity to an experimentally studied gene);gbkey=CDS;product=probable aldehyde dehydrogenase;protein_id=AAG05605.1;transl_table=11,3,6.833333333,2,3.2,5,12,0,15.25
ID=cds-AAG05606.1;Parent=gene-PA2218;Dbxref=NCBI_GP:AAG05606.1;Name=AAG05606.1;Note=Product name confidence: Class 4 (Homologs of previously reported genes of unknown function%2C or no similarity to any previously reported sequences);gbkey=CDS;product=hypothetical protein;protein_id=AAG05606.1;transl_table=11,14,15.33333333,11,26.25,10.04,30.33333333,3,71
ID=cds-AAG05607.1;Parent=gene-PA2219;Dbxref=NCBI_GP:AAG05607.1;Name=AAG05607.1;Note=Product name confidence: Class 1 (Function experimentally demonstrated in P. aeruginosa);gbkey=CDS;gene=opdE;product=membrane protein OpdE;protein_id=AAG05607.1;transl_table=11,6,12,8,12.33333333,6,23.83333333,3,19.33333333
ID=cds-AAG05608.1;Parent=gene-PA2220;Dbxref=NCBI_GP:AAG05608.1;Name=AAG05608.1;Note=Product name confidence: Class 3 (Function proposed based on presence of conserved amino acid motif%2C structural feature or limited sequence similarity to an experimentally studied gene);gbkey=CDS;product=probable transcriptional regulator;protein_id=AAG05608.1;transl_table=11,55,174,35,142,43,194.5,25,131
ID=cds-AAG05609.1;Parent=gene-PA2221;Dbxref=NCBI_GP:AAG05609.1;Name=AAG05609.1;Note=Product name confidence: Class 4 (Homologs of previously reported genes of unknown function%2C or no similarity to any previously reported sequences);gbkey=CDS;product=conserved hypothetical protein;protein_id=AAG05609.1;transl_table=11,7,65.03333333,4,54.33333333,8,86.25,2,57
ID=cds-AAG05610.1;Parent=gene-PA2222;Dbxref=NCBI_GP:AAG05610.1;Name=AAG05610.1;Note=Product name confidence: Class 4 (Homologs of previously reported genes of unknown function%2C or no similarity to any previously reported sequences);gbkey=CDS;product=hypothetical protein;protein_id=AAG05610.1;transl_table=11,10,17,11,5,1,18,7,21
ID=cds-AAG05611.1;Parent=gene-PA2223;Dbxref=NCBI_GP:AAG05611.1;Name=AAG05611.1;Note=Product name confidence: Class 4 (Homologs of previously reported genes of unknown function%2C or no similarity to any previously reported sequences);gbkey=CDS;product=hypothetical protein;protein_id=AAG05611.1;transl_table=11,17,45,14,42,15.5,96.14285714,7,59
ID=cds-AAG05612.1;Parent=gene-PA2224;Dbxref=NCBI_GP:AAG05612.1;Name=AAG05612.1;Note=Product name confidence: Class 4 (Homologs of previously reported genes of unknown function%2C or no similarity to any previously reported sequences);gbkey=CDS;product=hypothetical protein;protein_id=AAG05612.1;transl_table=11,25,25,15,35,4,49,3,39
ID=cds-AAG05613.1;Parent=gene-PA2225;Dbxref=NCBI_GP:AAG05613.1;Name=AAG05613.1;Note=Product name confidence: Class 4 (Homologs of previously reported genes of unknown function%2C or no similarity to any previously reported sequences);gbkey=CDS;product=hypothetical protein;protein_id=AAG05613.1;transl_table=11,10,32,8,39,4,45,1,39
ID=cds-AAG05614.1;Parent=gene-PA2226;Dbxref=NCBI_GP:AAG05614.1;Name=AAG05614.1;Note=Product name confidence: Class 4 (Homologs of previously reported genes of unknown function%2C or no similarity to any previously reported sequences);gbkey=CDS;product=hypothetical protein;protein_id=AAG05614.1;transl_table=11,18,22.5,19,18.5,4,30.83333333,5,8
"ID=cds-AAG05615.1;Parent=gene-PA2227;Dbxref=NCBI_GP:AAG05615.1,PseudoCap:PA222;Name=AAG05615.1;Note=Class 1: Function experimentally demonstrated in P. aeruginosa;gbkey=CDS;gene=vqsM;product=AraC-type transcriptional regulator VqsM;protein_id=AAG05615.1;transl_table=11",40,112,45,127,22.5,109.3333333,15,112
ID=cds-AAG05616.1;Parent=gene-PA2228;Dbxref=NCBI_GP:AAG05616.1;Name=AAG05616.1;Note=Product name confidence: Class 4 (Homologs of previously reported genes of unknown function%2C or no similarity to any previously reported sequences);gbkey=CDS;product=hypothetical protein;protein_id=AAG05616.1;transl_table=11,17,51,11,58.1,12.1,93.2,6,74
ID=cds-AAG05617.1;Parent=gene-PA2229;Dbxref=NCBI_GP:AAG05617.1;Name=AAG05617.1;Note=Product name confidence: Class 4 (Homologs of previously reported genes of unknown function%2C or no similarity to any previously reported sequences);gbkey=CDS;product=conserved hypothetical protein;protein_id=AAG05617.1;transl_table=11,11,30.66666667,13,29,17,68,2,51
ID=cds-AAG05618.1;Parent=gene-PA2230;Dbxref=NCBI_GP:AAG05618.1;Name=AAG05618.1;Note=Product name confidence: Class 4 (Homologs of previously reported genes of unknown function%2C or no similarity to any previously reported sequences);gbkey=CDS;product=hypothetical protein;protein_id=AAG05618.1;transl_table=11,27,234.6880342,31,209,23,231,21,234.1666667
"ID=cds-AAG05619.1;Parent=gene-PA2231;Dbxref=NCBI_GP:AAG05619.1,PseudoCap:PA223;Name=AAG05619.1;Note=Class 1: Function experimentally demonstrated in P. aeruginosa;gbkey=CDS;gene=pslA;product=PslA;protein_id=AAG05619.1;transl_table=11",203.3333333,92,156.25,102.1111111,300,160,215,202
ID=cds-AAG05620.1;Parent=gene-PA2232;Dbxref=NCBI_GP:AAG05620.1;Name=AAG05620.1;Note=Product name confidence: Class 1: Function experimentally demonstrated in P. aeruginosa;gbkey=CDS;gene=pslB;product=PslB;protein_id=AAG05620.1;transl_table=11,103,78,86,69.5,124.3333333,74.7,74,87
ID=cds-AAG05621.1;Parent=gene-PA2233;Dbxref=NCBI_GP:AAG05621.1;Name=AAG05621.1;Note=Product name confidence: Class 1: Function experimentally demonstrated in P. aeruginosa;gbkey=CDS;gene=pslC;product=PslC;protein_id=AAG05621.1;transl_table=11,44,26,36,23.2,59,26.125,30,25.2
"ID=cds-AAG05622.1;Parent=gene-PA2234;Dbxref=NCBI_GP:AAG05622.1,PseudoCap:PA223;Name=AAG05622.1;Note=Class 1: Function experimentally demonstrated in P. aeruginosa;gbkey=CDS;gene=pslD;product=PslD;protein_id=AAG05622.1;transl_table=11",95,40,87,66,93,42.5,57,31
ID=cds-AAG05623.1;Parent=gene-PA2235;Dbxref=NCBI_GP:AAG05623.1;Name=AAG05623.1;Note=Product name confidence: Class 1: Function experimentally demonstrated in P. aeruginosa;gbkey=CDS;gene=pslE;product=PslE;protein_id=AAG05623.1;transl_table=11,280,159.25,245,150.04,215.325,175.4166667,148,147
ID=cds-AAG05624.1;Parent=gene-PA2236;Dbxref=NCBI_GP:AAG05624.1;Name=AAG05624.1;Note=Product name confidence: Class 1: Function experimentally demonstrated in P. aeruginosa;gbkey=CDS;gene=pslF;product=PslF;protein_id=AAG05624.1;transl_table=11,30.14285714,26.33333333,32,23.2,33,32,20,12.25
ID=cds-AAG05625.1;Parent=gene-PA2237;Dbxref=NCBI_GP:AAG05625.1;Name=AAG05625.1;Note=Product name confidence: Class 1: Function experimentally demonstrated in P. aeruginosa;gbkey=CDS;gene=pslG;product=PslG;protein_id=AAG05625.1;transl_table=11,100.5,45,101,54.33333333,86.03333333,57.26785714,43.5,38.4
ID=cds-AAG05626.1;Parent=gene-PA2238;Dbxref=NCBI_GP:AAG05626.1;Name=AAG05626.1;Note=Product name confidence: Class 1: Function experimentally demonstrated in P. aeruginosa;gbkey=CDS;gene=pslH;product=PslH;protein_id=AAG05626.1;transl_table=11,39,25.33333333,34,42.33333333,45,58.125,26,21.25
ID=cds-AAG05627.1;Parent=gene-PA2239;Dbxref=NCBI_GP:AAG05627.1;Name=AAG05627.1;Note=Product name confidence: Class 1: Function experimentally demonstrated in P. aeruginosa;gbkey=CDS;gene=pslI;product=PslI;protein_id=AAG05627.1;transl_table=11,39,22,41,25.25,25,33,34,26
ID=cds-AAG05628.1;Parent=gene-PA2240;Dbxref=NCBI_GP:AAG05628.1;Name=AAG05628.1;Note=Product name confidence: Class 1: Function experimentally demonstrated in P. aeruginosa;gbkey=CDS;gene=pslJ;product=PslJ;protein_id=AAG05628.1;transl_table=11,73,26.25,39,22,48.16666667,38,40,38
ID=cds-AAG05629.1;Parent=gene-PA2241;Dbxref=NCBI_GP:AAG05629.1;Name=AAG05629.1;Note=Product name confidence: Class 1: Function experimentally demonstrated in P. aeruginosa;gbkey=CDS;gene=pslK;product=PslL;protein_id=AAG05629.1;transl_table=11,37,17.16666667,28,13.02380952,20,16.75,14,18.07142857
ID=cds-AAG05630.1;Parent=gene-PA2242;Dbxref=NCBI_GP:AAG05630.1;Name=AAG05630.1;Note=Product name confidence: Class 4 (Homologs of previously reported genes of unknown function%2C or no similarity to any previously reported sequences);gbkey=CDS;gene=pslL;product=hypothetical protein;protein_id=AAG05630.1;transl_table=11,109,50,84,41.25,68,32.33333333,40.5,29
ID=cds-AAG05631.1;Parent=gene-PA2243;Dbxref=NCBI_GP:AAG05631.1;Name=AAG05631.1;Note=Product name confidence: Class 4 (Homologs of previously reported genes of unknown function%2C or no similarity to any previously reported sequences);gbkey=CDS;gene=pslM;product=hypothetical protein;protein_id=AAG05631.1;transl_table=11,6,0,1,2,3,1.173611111,2,4.2
ID=cds-AAG05632.1;Parent=gene-PA2244;Dbxref=NCBI_GP:AAG05632.1;Name=AAG05632.1;Note=Product name confidence: Class 4 (Homologs of previously reported genes of unknown function%2C or no similarity to any previously reported sequences);gbkey=CDS;gene=pslN;product=hypothetical protein;protein_id=AAG05632.1;transl_table=11,0,2,0,0,1,6,0,1
ID=cds-AAG05633.1;Parent=gene-PA2245;Dbxref=NCBI_GP:AAG05633.1;Name=AAG05633.1;Note=Product name confidence: Class 4 (Homologs of previously reported genes of unknown function%2C or no similarity to any previously reported sequences);gbkey=CDS;gene=pslO;product=hypothetical protein;protein_id=AAG05633.1;transl_table=11,0,10,0,1,0,16,2,13
ID=cds-AAG05634.1;Parent=gene-PA2246;Dbxref=NCBI_GP:AAG05634.1;Name=AAG05634.1;Note=Product name confidence: Class 2 (High similarity to functionally studied protein);gbkey=CDS;gene=bkdR;product=transcriptional regulator BkdR;protein_id=AAG05634.1;transl_table=11,20,63,19,74,31,108,14,103
ID=cds-AAG05635.1;Parent=gene-PA2247;Dbxref=NCBI_GP:AAG05635.1;Name=AAG05635.1;Note=Product name confidence: Class 2 (High similarity to functionally studied protein);gbkey=CDS;gene=bkdA1;product=2-oxoisovalerate dehydrogenase (alpha subunit);protein_id=AAG05635.1;transl_table=11,29,64,14,58.39285714,44,86,52,95
ID=cds-AAG05636.1;Parent=gene-PA2248;Dbxref=NCBI_GP:AAG05636.1;Name=AAG05636.1;Note=Product name confidence: Class 2 (High similarity to functionally studied protein);gbkey=CDS;gene=bkdA2;product=2-oxoisovalerate dehydrogenase (beta subunit);protein_id=AAG05636.1;transl_table=11,19,24,13,19,23,33.25,22,35
ID=cds-AAG05637.1;Parent=gene-PA2249;Dbxref=NCBI_GP:AAG05637.1;Name=AAG05637.1;Note=Product name confidence: Class 2 (High similarity to functionally studied protein);gbkey=CDS;gene=bkdB;product=branched-chain alpha-keto acid dehydrogenase (lipoamide component);protein_id=AAG05637.1;transl_table=11,13,11,7,9,17,24.5,19,19
ID=cds-AAG05638.1;Parent=gene-PA2250;Dbxref=NCBI_GP:AAG05638.1;Name=AAG05638.1;Note=Product name confidence: Class 2 (High similarity to functionally studied protein);gbkey=CDS;gene=lpdV;product=lipoamide dehydrogenase-Val;protein_id=AAG05638.1;transl_table=11,8.333333333,15,4.166666667,4,14,10.2,16,24
