,JP_PAO1_A_cip,JP_PAO1_B_cip,JP_PAO1_C_cip,JP_1128_A_cip,JP_1128_B_cip,JP_1128_C_cip,JP_1139_A_cip,JP_1139_B_cip,JP1139_C_cip
"AS_IGR:(CDS,PA2092,-,major_facilitator_superfamily_%28MFS%29_transporter,cds2093,+,1193/CDS,PA2093,-,RNA_polymerase_sigma_factor,cds2094,+,509):+:51:NC_002516.2",0,1,0,1,0,0,0,0,0
CDS:PA2093:-:RNA_polymerase_sigma_factor:cds2094:+:509:NC_002516.2,7,15,1,9,2,2,15,3,1
AS_CDS:PA2093:-:RNA_polymerase_sigma_factor:cds2094:+:509:NC_002516.2,0,4,0,5,0,0,0,0,0
CDS:PA2094:-:transmembrane_sensor:cds2095:+:956:NC_002516.2,1,38,8,17,13,0,7,6,3
AS_CDS:PA2094:-:transmembrane_sensor:cds2095:+:956:NC_002516.2,21,47,16,58,12,10,48,26,3
CDS:PA2095:-:hypothetical_protein:cds2096:-:845:NC_002516.2,12,23,18,36,9,6,28,13,6
AS_CDS:PA2095:-:hypothetical_protein:cds2096:-:845:NC_002516.2,6,19,13,11,3,1,4,4,1
"IGR:(CDS,PA2095,-,hypothetical_protein,cds2096,-,845/CDS,PA2096,-,transcriptional_regulator,cds2097,-,1034):+:97:NC_002516.2",0,6,1,8,1,0,2,3,0
"AS_IGR:(CDS,PA2095,-,hypothetical_protein,cds2096,-,845/CDS,PA2096,-,transcriptional_regulator,cds2097,-,1034):+:97:NC_002516.2",1,1,1,1,0,0,3,0,0
CDS:PA2096:-:transcriptional_regulator:cds2097:-:1034:NC_002516.2,6,40,15,15,5,5,14,10,3
AS_CDS:PA2096:-:transcriptional_regulator:cds2097:-:1034:NC_002516.2,10,20,9,53,9,0,33,7,1
"IGR:(CDS,PA2096,-,transcriptional_regulator,cds2097,-,1034/CDS,PA2097,-,flavin-binding_monooxygenase,cds2098,+,1475):+:105:NC_002516.2",1,2,1,5,1,0,5,0,0
"AS_IGR:(CDS,PA2096,-,transcriptional_regulator,cds2097,-,1034/CDS,PA2097,-,flavin-binding_monooxygenase,cds2098,+,1475):+:105:NC_002516.2",0,6,0,0,0,0,3,4,0
CDS:PA2097:-:flavin-binding_monooxygenase:cds2098:+:1475:NC_002516.2,11,24,8,34,3,0,18,3,3
AS_CDS:PA2097:-:flavin-binding_monooxygenase:cds2098:+:1475:NC_002516.2,6,10,2,7,0,0,14,11,7
CDS:PA2098:-:esterase:cds2099:+:929:NC_002516.2,9,12,2,8,2,5,14,7,1
AS_CDS:PA2098:-:esterase:cds2099:+:929:NC_002516.2,7,18,2,5,0,0,6,4,4
CDS:PA2099:-:short-chain_dehydrogenase:cds2100:+:755:NC_002516.2,16,22,8,10,2,0,12,0,5
AS_CDS:PA2099:-:short-chain_dehydrogenase:cds2100:+:755:NC_002516.2,5,9,1,4,3,0,6,1,0
"IGR:(CDS,PA2099,-,short-chain_dehydrogenase,cds2100,+,755/CDS,PA2100,-,transcriptional_regulator,cds2101,-,1433):+:159:NC_002516.2",0,4,0,5,0,0,7,0,0
"AS_IGR:(CDS,PA2099,-,short-chain_dehydrogenase,cds2100,+,755/CDS,PA2100,-,transcriptional_regulator,cds2101,-,1433):+:159:NC_002516.2",0,4,0,2,3,1,1,2,0
CDS:PA2100:-:transcriptional_regulator:cds2101:-:1433:NC_002516.2,24,78,28,88,12,21,56,21,14
AS_CDS:PA2100:-:transcriptional_regulator:cds2101:-:1433:NC_002516.2,12,18,6,16,3,0,13,3,0
"IGR:(CDS,PA2100,-,transcriptional_regulator,cds2101,-,1433/CDS,PA2101,-,hypothetical_protein,cds2102,+,890):+:91:NC_002516.2",0,0,0,0,0,0,0,0,0
"AS_IGR:(CDS,PA2100,-,transcriptional_regulator,cds2101,-,1433/CDS,PA2101,-,hypothetical_protein,cds2102,+,890):+:91:NC_002516.2",1,2,1,4,0,1,1,1,0
CDS:PA2101:-:hypothetical_protein:cds2102:+:890:NC_002516.2,10,9,11,24,0,0,0,1,4
AS_CDS:PA2101:-:hypothetical_protein:cds2102:+:890:NC_002516.2,13,27,7,23,3,5,8,8,0
CDS:PA2102:-:hypothetical_protein:cds2103:+:458:NC_002516.2,6,10,3,18,0,0,11,2,6
AS_CDS:PA2102:-:hypothetical_protein:cds2103:+:458:NC_002516.2,10,19,5,25,5,3,22,1,0
"IGR:(CDS,PA2102,-,hypothetical_protein,cds2103,+,458/CDS,PA2103,-,molybdopterin_biosynthesis_protein_MoeB,cds2104,+,1178):+:211:NC_002516.2",2,11,1,3,0,0,6,0,3
"AS_IGR:(CDS,PA2102,-,hypothetical_protein,cds2103,+,458/CDS,PA2103,-,molybdopterin_biosynthesis_protein_MoeB,cds2104,+,1178):+:211:NC_002516.2",0,5,0,20,2,1,11,2,0
CDS:PA2103:-:molybdopterin_biosynthesis_protein_MoeB:cds2104:+:1178:NC_002516.2,11,34,8,41,6,8,37,8,9
AS_CDS:PA2103:-:molybdopterin_biosynthesis_protein_MoeB:cds2104:+:1178:NC_002516.2,23,38,13,47,2,0,32,18,5
CDS:PA2104:-:cysteine_synthase:cds2105:+:917:NC_002516.2,24,51,32,55,11,21,31,13,9
AS_CDS:PA2104:-:cysteine_synthase:cds2105:+:917:NC_002516.2,13,20,3,28,0,7,53,1,0
"IGR:(CDS,PA2104,-,cysteine_synthase,cds2105,+,917/CDS,PA2105,-,acetyltransferase,cds2106,+,695):+:30:NC_002516.2",1,4,2,4,1,0,2,1,1
"AS_IGR:(CDS,PA2104,-,cysteine_synthase,cds2105,+,917/CDS,PA2105,-,acetyltransferase,cds2106,+,695):+:30:NC_002516.2",1,0,0,0,0,0,1,0,0
CDS:PA2105:-:acetyltransferase:cds2106:+:695:NC_002516.2,18,57,23,63,16,6,43,11,20
AS_CDS:PA2105:-:acetyltransferase:cds2106:+:695:NC_002516.2,19,14,6,13,0,8,11,11,2
CDS:PA2106:-:hypothetical_protein:cds2107:+:734:NC_002516.2,46,131,29,118,22,13,109,63,13
AS_CDS:PA2106:-:hypothetical_protein:cds2107:+:734:NC_002516.2,26,108,25,75,14,17,39,14,10
"IGR:(CDS,PA2106,-,hypothetical_protein,cds2107,+,734/CDS,PA2107,-,hypothetical_protein,cds2108,-,398):+:30:NC_002516.2",0,4,1,3,0,0,4,2,0
"AS_IGR:(CDS,PA2106,-,hypothetical_protein,cds2107,+,734/CDS,PA2107,-,hypothetical_protein,cds2108,-,398):+:30:NC_002516.2",3,14,1,11,2,3,4,1,1
CDS:PA2107:-:hypothetical_protein:cds2108:-:398:NC_002516.2,1,11,0,1,0,2,1,3,1
AS_CDS:PA2107:-:hypothetical_protein:cds2108:-:398:NC_002516.2,9,29,19,51,7,1,32,14,2
"IGR:(CDS,PA2107,-,hypothetical_protein,cds2108,-,398/CDS,PA2108,-,thiamine_pyrophosphate_protein,cds2109,+,1772):+:129:NC_002516.2",4,5,2,8,2,0,1,3,0
"AS_IGR:(CDS,PA2107,-,hypothetical_protein,cds2108,-,398/CDS,PA2108,-,thiamine_pyrophosphate_protein,cds2109,+,1772):+:129:NC_002516.2",1,2,0,1,0,0,0,1,1
CDS:PA2108:-:thiamine_pyrophosphate_protein:cds2109:+:1772:NC_002516.2,8,30,5,42,8,2,19,13,8
AS_CDS:PA2108:-:thiamine_pyrophosphate_protein:cds2109:+:1772:NC_002516.2,15,63,15,55,8,2,33,15,13
CDS:PA2109:-:hypothetical_protein:cds2110:-:476:NC_002516.2,49,134,44,142,39,18,90,55,33
AS_CDS:PA2109:-:hypothetical_protein:cds2110:-:476:NC_002516.2,1,13,1,8,3,6,5,1,0
"IGR:(CDS,PA2109,-,hypothetical_protein,cds2110,-,476/CDS,PA2110,-,hypothetical_protein,cds2111,-,941):+:16:NC_002516.2",0,1,0,0,0,0,0,0,0
"AS_IGR:(CDS,PA2109,-,hypothetical_protein,cds2110,-,476/CDS,PA2110,-,hypothetical_protein,cds2111,-,941):+:16:NC_002516.2",8,15,3,19,4,2,8,7,3
CDS:PA2110:-:hypothetical_protein:cds2111:-:941:NC_002516.2,513,1337,317,1673,219,281,929,527,189
AS_CDS:PA2110:-:hypothetical_protein:cds2111:-:941:NC_002516.2,6,28,10,31,5,9,15,10,0
CDS:PA2111:-:hypothetical_protein:cds2112:-:713:NC_002516.2,1468,5988,1821,8125,1018,1020,4212,2582,912
AS_CDS:PA2111:-:hypothetical_protein:cds2112:-:713:NC_002516.2,9,52,11,68,6,3,32,9,3
CDS:PA2112:-:LamB%2FYcsF_family_protein:cds2113:-:743:NC_002516.2,265,509,154,681,59,110,381,222,54
AS_CDS:PA2112:-:LamB%2FYcsF_family_protein:cds2113:-:743:NC_002516.2,15,24,1,11,7,1,2,4,2
CDS:PA2113:opdO:pyroglutatmate_porin_OpdO:cds2114:-:1229:NC_002516.2,213,547,159,506,72,83,387,150,46
AS_CDS:PA2113:opdO:pyroglutatmate_porin_OpdO:cds2114:-:1229:NC_002516.2,6,63,0,55,8,11,18,19,10
CDS:PA2114:-:major_facilitator_superfamily_%28MFS%29_transporter:cds2115:-:1271:NC_002516.2,517,1176,344,1072,208,179,755,391,135
AS_CDS:PA2114:-:major_facilitator_superfamily_%28MFS%29_transporter:cds2115:-:1271:NC_002516.2,12,60,19,45,15,5,26,15,8
"IGR:(CDS,PA2114,-,major_facilitator_superfamily_%28MFS%29_transporter,cds2115,-,1271/CDS,PA2115,-,transcriptional_regulator,cds2116,+,953):+:213:NC_002516.2",3,20,3,20,3,2,4,3,7
"AS_IGR:(CDS,PA2114,-,major_facilitator_superfamily_%28MFS%29_transporter,cds2115,-,1271/CDS,PA2115,-,transcriptional_regulator,cds2116,+,953):+:213:NC_002516.2",27,58,8,45,8,5,29,13,4
CDS:PA2115:-:transcriptional_regulator:cds2116:+:953:NC_002516.2,46,121,29,119,16,17,70,26,15
AS_CDS:PA2115:-:transcriptional_regulator:cds2116:+:953:NC_002516.2,2,0,7,4,0,0,0,3,2
"IGR:(CDS,PA2115,-,transcriptional_regulator,cds2116,+,953/CDS,PA2116,-,hypothetical_protein,cds2117,+,797):+:55:NC_002516.2",6,6,2,5,0,1,4,1,1
"AS_IGR:(CDS,PA2115,-,transcriptional_regulator,cds2116,+,953/CDS,PA2116,-,hypothetical_protein,cds2117,+,797):+:55:NC_002516.2",0,0,0,0,0,0,0,2,1
CDS:PA2116:-:hypothetical_protein:cds2117:+:797:NC_002516.2,416,898,211,876,140,202,537,281,112
AS_CDS:PA2116:-:hypothetical_protein:cds2117:+:797:NC_002516.2,2,18,8,7,7,2,7,3,6
CDS:PA2117:-:hypothetical_protein:cds2118:-:980:NC_002516.2,20,31,2,25,9,1,18,13,1
AS_CDS:PA2117:-:hypothetical_protein:cds2118:-:980:NC_002516.2,509,1399,347,1586,206,215,941,415,200
"IGR:(CDS,PA2117,-,hypothetical_protein,cds2118,-,980/CDS,PA2118,ada,O6-methylguanine-DNA_methyltransferase,cds2119,+,1076):+:150:NC_002516.2",18,54,13,47,6,10,48,15,8
"AS_IGR:(CDS,PA2117,-,hypothetical_protein,cds2118,-,980/CDS,PA2118,ada,O6-methylguanine-DNA_methyltransferase,cds2119,+,1076):+:150:NC_002516.2",1,2,0,1,0,0,0,1,0
CDS:PA2118:ada:O6-methylguanine-DNA_methyltransferase:cds2119:+:1076:NC_002516.2,121,379,65,334,57,56,224,92,26
AS_CDS:PA2118:ada:O6-methylguanine-DNA_methyltransferase:cds2119:+:1076:NC_002516.2,1,7,4,21,1,6,4,0,0
"IGR:(CDS,PA2118,ada,O6-methylguanine-DNA_methyltransferase,cds2119,+,1076/CDS,PA2118a,-,hypothetical_protein,cds2120,-,242):+:105:NC_002516.2",5,17,3,17,1,2,16,3,5
"AS_IGR:(CDS,PA2118,ada,O6-methylguanine-DNA_methyltransferase,cds2119,+,1076/CDS,PA2118a,-,hypothetical_protein,cds2120,-,242):+:105:NC_002516.2",26,60,15,79,11,8,54,31,8
CDS:PA2118a:-:hypothetical_protein:cds2120:-:242:NC_002516.2,141,395,126,479,58,68,406,242,62
AS_CDS:PA2118a:-:hypothetical_protein:cds2120:-:242:NC_002516.2,6,22,9,24,3,5,20,9,10
"IGR:(CDS,PA2118a,-,hypothetical_protein,cds2120,-,242/CDS,PA2119,-,alcohol_dehydrogenase,cds2121,-,1100):+:74:NC_002516.2",0,6,2,3,3,1,12,1,2
"AS_IGR:(CDS,PA2118a,-,hypothetical_protein,cds2120,-,242/CDS,PA2119,-,alcohol_dehydrogenase,cds2121,-,1100):+:74:NC_002516.2",63,221,55,274,42,40,240,108,48
CDS:PA2119:-:alcohol_dehydrogenase:cds2121:-:1100:NC_002516.2,585,1895,509,2037,415,455,1894,933,481
AS_CDS:PA2119:-:alcohol_dehydrogenase:cds2121:-:1100:NC_002516.2,51,221,47,218,33,25,114,55,28
"IGR:(CDS,PA2119,-,alcohol_dehydrogenase,cds2121,-,1100/CDS,PA2120,-,hypothetical_protein,cds2122,-,428):+:281:NC_002516.2",28,58,9,37,1,8,19,26,5
"AS_IGR:(CDS,PA2119,-,alcohol_dehydrogenase,cds2121,-,1100/CDS,PA2120,-,hypothetical_protein,cds2122,-,428):+:281:NC_002516.2",49,94,36,135,20,18,78,53,25
CDS:PA2120:-:hypothetical_protein:cds2122:-:428:NC_002516.2,14,22,8,32,4,6,35,17,10
AS_CDS:PA2120:-:hypothetical_protein:cds2122:-:428:NC_002516.2,13,34,6,27,8,3,15,14,7
"IGR:(CDS,PA2120,-,hypothetical_protein,cds2122,-,428/CDS,PA2121,-,transcriptional_regulator,cds2123,-,905):+:96:NC_002516.2",0,2,0,5,0,0,0,1,0
"AS_IGR:(CDS,PA2120,-,hypothetical_protein,cds2122,-,428/CDS,PA2121,-,transcriptional_regulator,cds2123,-,905):+:96:NC_002516.2",1,7,2,5,1,2,3,6,1
CDS:PA2121:-:transcriptional_regulator:cds2123:-:905:NC_002516.2,68,135,26,119,40,27,82,76,32
AS_CDS:PA2121:-:transcriptional_regulator:cds2123:-:905:NC_002516.2,19,15,6,42,0,5,11,16,7
"IGR:(CDS,PA2121,-,transcriptional_regulator,cds2123,-,905/CDS,PA2122,-,hypothetical_protein,cds2124,+,1136):+:84:NC_002516.2",0,1,1,4,0,0,0,0,0
"AS_IGR:(CDS,PA2121,-,transcriptional_regulator,cds2123,-,905/CDS,PA2122,-,hypothetical_protein,cds2124,+,1136):+:84:NC_002516.2",6,9,2,12,3,1,3,4,2
CDS:PA2122:-:hypothetical_protein:cds2124:+:1136:NC_002516.2,39,70,26,70,9,12,21,16,5
AS_CDS:PA2122:-:hypothetical_protein:cds2124:+:1136:NC_002516.2,2,9,3,11,0,4,3,8,0
CDS:PA2123:-:transcriptional_regulator:cds2125:+:932:NC_002516.2,74,86,25,106,10,10,77,36,5
AS_CDS:PA2123:-:transcriptional_regulator:cds2125:+:932:NC_002516.2,9,8,5,8,1,0,6,3,5
"IGR:(CDS,PA2123,-,transcriptional_regulator,cds2125,+,932/CDS,PA2124,-,dehydrogenase,cds2126,+,1637):+:53:NC_002516.2",2,6,1,7,2,0,3,2,2
"AS_IGR:(CDS,PA2123,-,transcriptional_regulator,cds2125,+,932/CDS,PA2124,-,dehydrogenase,cds2126,+,1637):+:53:NC_002516.2",1,0,1,0,0,0,0,0,0
CDS:PA2124:-:dehydrogenase:cds2126:+:1637:NC_002516.2,13,42,15,64,5,13,22,12,15
AS_CDS:PA2124:-:dehydrogenase:cds2126:+:1637:NC_002516.2,12,21,12,17,5,3,16,12,6
CDS:PA2125:-:aldehyde_dehydrogenase:cds2127:+:1448:NC_002516.2,4,22,3,24,0,2,1,11,0
AS_CDS:PA2125:-:aldehyde_dehydrogenase:cds2127:+:1448:NC_002516.2,51,97,32,88,6,24,79,39,21
CDS:PA2126:-:hypothetical_protein:cds2128:-:635:NC_002516.2,43,142,48,149,20,35,120,60,15
AS_CDS:PA2126:-:hypothetical_protein:cds2128:-:635:NC_002516.2,0,6,8,3,0,3,1,7,1
"IGR:(CDS,PA2126,-,hypothetical_protein,cds2128,-,635/CDS,PA2127,-,hypothetical_protein,cds2129,-,1226):+:375:NC_002516.2",0,4,1,3,0,1,3,1,1
"AS_IGR:(CDS,PA2126,-,hypothetical_protein,cds2128,-,635/CDS,PA2127,-,hypothetical_protein,cds2129,-,1226):+:375:NC_002516.2",37,65,14,72,16,19,51,59,15
CDS:PA2127:-:hypothetical_protein:cds2129:-:1226:NC_002516.2,151,450,116,407,76,140,332,205,66
AS_CDS:PA2127:-:hypothetical_protein:cds2129:-:1226:NC_002516.2,74,131,51,187,21,33,124,49,19
"IGR:(CDS,PA2127,-,hypothetical_protein,cds2129,-,1226/CDS,PA2128,cupA1,fimbrial_subunit_CupA1,cds2130,+,551):+:811:NC_002516.2",10,14,3,21,8,1,20,3,3
"AS_IGR:(CDS,PA2127,-,hypothetical_protein,cds2129,-,1226/CDS,PA2128,cupA1,fimbrial_subunit_CupA1,cds2130,+,551):+:811:NC_002516.2",90,219,77,233,30,63,181,122,35
CDS:PA2128:cupA1:fimbrial_subunit_CupA1:cds2130:+:551:NC_002516.2,84,240,57,201,22,46,161,99,43
AS_CDS:PA2128:cupA1:fimbrial_subunit_CupA1:cds2130:+:551:NC_002516.2,5,20,9,33,12,3,8,15,8
"IGR:(CDS,PA2128,cupA1,fimbrial_subunit_CupA1,cds2130,+,551/CDS,PA2129,cupA2,chaperone_CupA2,cds2131,+,746):+:36:NC_002516.2",9,29,6,26,2,4,15,12,4
"AS_IGR:(CDS,PA2128,cupA1,fimbrial_subunit_CupA1,cds2130,+,551/CDS,PA2129,cupA2,chaperone_CupA2,cds2131,+,746):+:36:NC_002516.2",0,1,0,0,0,0,0,0,0
CDS:PA2129:cupA2:chaperone_CupA2:cds2131:+:746:NC_002516.2,23,51,13,61,6,8,22,31,11
AS_CDS:PA2129:cupA2:chaperone_CupA2:cds2131:+:746:NC_002516.2,2,10,0,13,0,0,2,5,0
CDS:PA2130:cupA3:usher_CupA3:cds2132:+:2618:NC_002516.2,7,32,15,47,4,10,24,15,1
AS_CDS:PA2130:cupA3:usher_CupA3:cds2132:+:2618:NC_002516.2,17,56,21,62,0,6,24,7,12
CDS:PA2131:cupA4:fimbrial_subunit_CupA4:cds2133:+:1361:NC_002516.2,2,8,5,10,2,0,20,5,0
AS_CDS:PA2131:cupA4:fimbrial_subunit_CupA4:cds2133:+:1361:NC_002516.2,5,6,4,6,0,0,8,8,0
CDS:PA2132:cupA5:chaperone_CupA5:cds2134:+:713:NC_002516.2,4,9,3,4,3,0,14,5,0
AS_CDS:PA2132:cupA5:chaperone_CupA5:cds2134:+:713:NC_002516.2,0,2,0,1,0,0,4,5,0
CDS:PA2133:cupA5:hypothetical_protein:cds2135:+:857:NC_002516.2,2,10,7,5,1,3,2,4,0
AS_CDS:PA2133:cupA5:hypothetical_protein:cds2135:+:857:NC_002516.2,5,2,0,3,0,0,1,2,3
"IGR:(CDS,PA2133,cupA5,hypothetical_protein,cds2135,+,857/CDS,PA2134,-,hypothetical_protein,cds2136,+,572):+:41:NC_002516.2",0,1,0,0,0,0,0,0,0
"AS_IGR:(CDS,PA2133,cupA5,hypothetical_protein,cds2135,+,857/CDS,PA2134,-,hypothetical_protein,cds2136,+,572):+:41:NC_002516.2",0,0,0,0,0,0,0,1,0
CDS:PA2134:-:hypothetical_protein:cds2136:+:572:NC_002516.2,4,15,6,14,2,0,14,9,3
AS_CDS:PA2134:-:hypothetical_protein:cds2136:+:572:NC_002516.2,0,0,0,1,0,0,0,1,0
CDS:PA2135:-:transporter:cds2137:+:1364:NC_002516.2,8,18,11,25,5,16,23,15,0
AS_CDS:PA2135:-:transporter:cds2137:+:1364:NC_002516.2,1,10,0,2,8,2,8,5,0
"IGR:(CDS,PA2135,-,transporter,cds2137,+,1364/CDS,PA2136,-,hypothetical_protein,cds2138,-,524):+:391:NC_002516.2",1,10,3,4,1,1,9,3,1
"AS_IGR:(CDS,PA2135,-,transporter,cds2137,+,1364/CDS,PA2136,-,hypothetical_protein,cds2138,-,524):+:391:NC_002516.2",1,3,0,4,0,0,0,0,0
CDS:PA2136:-:hypothetical_protein:cds2138:-:524:NC_002516.2,0,3,0,1,3,2,0,0,0
AS_CDS:PA2136:-:hypothetical_protein:cds2138:-:524:NC_002516.2,31,110,30,93,32,17,101,56,18
"IGR:(CDS,PA2136,-,hypothetical_protein,cds2138,-,524/CDS,PA2137,-,hypothetical_protein,cds2139,+,536):+:60:NC_002516.2",0,0,1,1,0,0,1,0,0
"AS_IGR:(CDS,PA2136,-,hypothetical_protein,cds2138,-,524/CDS,PA2137,-,hypothetical_protein,cds2139,+,536):+:60:NC_002516.2",0,0,0,0,0,0,0,0,0
CDS:PA2137:-:hypothetical_protein:cds2139:+:536:NC_002516.2,3,5,2,7,2,0,17,0,0
AS_CDS:PA2137:-:hypothetical_protein:cds2139:+:536:NC_002516.2,1,6,0,8,0,0,1,0,0
CDS:PA2138:-:ATP-dependent_DNA_ligase:cds2140:+:2522:NC_002516.2,13,26,2,50,5,2,17,11,3
AS_CDS:PA2138:-:ATP-dependent_DNA_ligase:cds2140:+:2522:NC_002516.2,5,22,3,13,0,0,3,0,3
"IGR:(CDS,PA2138,-,ATP-dependent_DNA_ligase,cds2140,+,2522/gene,PA2139,-,-,gene2177,+,214):+:44:NC_002516.2",0,0,0,1,0,0,0,0,0
"AS_IGR:(CDS,PA2138,-,ATP-dependent_DNA_ligase,cds2140,+,2522/gene,PA2139,-,-,gene2177,+,214):+:44:NC_002516.2",0,0,0,1,0,0,0,0,0
gene:PA2139:-:-:gene2177:+:214:NC_002516.2,0,0,0,1,0,0,0,0,0
AS_gene:PA2139:-:-:gene2177:+:214:NC_002516.2,0,0,1,4,0,0,1,1,0
CDS:PA2140:-:metallothionein:cds2141:+:239:NC_002516.2,0,0,1,1,0,0,0,0,0
AS_CDS:PA2140:-:metallothionein:cds2141:+:239:NC_002516.2,0,0,5,6,0,0,0,0,1
CDS:PA2141:-:hypothetical_protein:cds2142:+:548:NC_002516.2,1,1,3,0,0,0,1,1,0
AS_CDS:PA2141:-:hypothetical_protein:cds2142:+:548:NC_002516.2,0,0,3,2,0,0,1,0,1
CDS:PA2142:-:short-chain_dehydrogenase:cds2143:+:860:NC_002516.2,3,11,0,5,5,0,5,0,1
AS_CDS:PA2142:-:short-chain_dehydrogenase:cds2143:+:860:NC_002516.2,16,41,24,72,9,9,54,28,2
CDS:PA2142a:-:hypothetical_protein:cds2144:-:188:NC_002516.2,17,27,7,26,12,16,26,31,2
AS_CDS:PA2142a:-:hypothetical_protein:cds2144:-:188:NC_002516.2,2,2,0,0,2,0,1,0,0
"IGR:(CDS,PA2142a,-,hypothetical_protein,cds2144,-,188/CDS,PA2143,-,hypothetical_protein,cds2145,+,287):+:201:NC_002516.2",2,2,0,2,2,1,2,1,0
"AS_IGR:(CDS,PA2142a,-,hypothetical_protein,cds2144,-,188/CDS,PA2143,-,hypothetical_protein,cds2145,+,287):+:201:NC_002516.2",1,9,2,5,2,2,8,4,0
CDS:PA2143:-:hypothetical_protein:cds2145:+:287:NC_002516.2,18,20,22,41,2,14,34,13,5
AS_CDS:PA2143:-:hypothetical_protein:cds2145:+:287:NC_002516.2,6,20,4,21,4,2,18,5,0
"IGR:(CDS,PA2143,-,hypothetical_protein,cds2145,+,287/CDS,PA2144,glgP,glycogen_phosphorylase,cds2146,+,2438):+:1:NC_002516.2",0,0,0,0,0,0,0,0,0
"AS_IGR:(CDS,PA2143,-,hypothetical_protein,cds2145,+,287/CDS,PA2144,glgP,glycogen_phosphorylase,cds2146,+,2438):+:1:NC_002516.2",0,0,0,0,0,0,0,0,0
CDS:PA2144:glgP:glycogen_phosphorylase:cds2146:+:2438:NC_002516.2,24,11,16,32,6,1,44,11,6
AS_CDS:PA2144:glgP:glycogen_phosphorylase:cds2146:+:2438:NC_002516.2,56,199,59,201,24,17,138,40,26
CDS:PA2145:-:hypothetical_protein:cds2147:-:398:NC_002516.2,6,7,5,14,7,0,8,4,0
AS_CDS:PA2145:-:hypothetical_protein:cds2147:-:398:NC_002516.2,4,2,3,4,0,0,17,2,0
"IGR:(CDS,PA2145,-,hypothetical_protein,cds2147,-,398/CDS,PA2146,-,hypothetical_protein,cds2148,+,167):+:457:NC_002516.2",2,4,3,13,1,1,4,5,1
"AS_IGR:(CDS,PA2145,-,hypothetical_protein,cds2147,-,398/CDS,PA2146,-,hypothetical_protein,cds2148,+,167):+:457:NC_002516.2",0,0,0,3,0,0,0,2,0
CDS:PA2146:-:hypothetical_protein:cds2148:+:167:NC_002516.2,15,27,15,65,6,6,26,21,10
AS_CDS:PA2146:-:hypothetical_protein:cds2148:+:167:NC_002516.2,8,5,3,13,0,0,14,4,4
"IGR:(CDS,PA2146,-,hypothetical_protein,cds2148,+,167/CDS,PA2147,katE,hydroperoxidase_II,cds2149,+,2129):+:29:NC_002516.2",3,4,3,9,1,1,3,4,2
"AS_IGR:(CDS,PA2146,-,hypothetical_protein,cds2148,+,167/CDS,PA2147,katE,hydroperoxidase_II,cds2149,+,2129):+:29:NC_002516.2",2,2,1,4,0,0,4,1,1
CDS:PA2147:katE:hydroperoxidase_II:cds2149:+:2129:NC_002516.2,2,15,6,32,8,3,31,10,2
AS_CDS:PA2147:katE:hydroperoxidase_II:cds2149:+:2129:NC_002516.2,22,60,17,76,2,17,37,22,14
"IGR:(CDS,PA2147,katE,hydroperoxidase_II,cds2149,+,2129/CDS,PA2148,-,hypothetical_protein,cds2150,+,491):+:176:NC_002516.2",0,3,1,2,0,0,0,1,0
"AS_IGR:(CDS,PA2147,katE,hydroperoxidase_II,cds2149,+,2129/CDS,PA2148,-,hypothetical_protein,cds2150,+,491):+:176:NC_002516.2",0,0,0,0,0,0,0,0,0
CDS:PA2148:-:hypothetical_protein:cds2150:+:491:NC_002516.2,10,12,3,13,4,1,5,7,0
AS_CDS:PA2148:-:hypothetical_protein:cds2150:+:491:NC_002516.2,0,10,2,7,0,1,0,0,1
CDS:PA2149:-:hypothetical_protein:cds2151:+:242:NC_002516.2,0,1,1,5,0,1,0,3,0
AS_CDS:PA2149:-:hypothetical_protein:cds2151:+:242:NC_002516.2,1,0,0,1,0,0,0,0,0
CDS:PA2150:-:hypothetical_protein:cds2152:+:881:NC_002516.2,0,6,4,11,3,7,2,3,3
AS_CDS:PA2150:-:hypothetical_protein:cds2152:+:881:NC_002516.2,0,9,4,10,4,1,3,3,2
"IGR:(CDS,PA2150,-,hypothetical_protein,cds2152,+,881/CDS,PA2151,-,hypothetical_protein,cds2153,+,1994):+:92:NC_002516.2",0,3,0,2,0,0,0,0,0
"AS_IGR:(CDS,PA2150,-,hypothetical_protein,cds2152,+,881/CDS,PA2151,-,hypothetical_protein,cds2153,+,1994):+:92:NC_002516.2",0,2,1,0,1,2,0,0,0
CDS:PA2151:-:hypothetical_protein:cds2153:+:1994:NC_002516.2,21,26,7,16,23,7,21,12,2
AS_CDS:PA2151:-:hypothetical_protein:cds2153:+:1994:NC_002516.2,11,47,17,53,13,5,31,13,4
CDS:PA2152:-:trehalose_synthase:cds2154:+:3302:NC_002516.2,31,58,32,81,5,14,61,42,8
AS_CDS:PA2152:-:trehalose_synthase:cds2154:+:3302:NC_002516.2,28,87,42,71,7,14,46,13,16
CDS:PA2153:glgB:glycogen_branching_protein:cds2155:+:2198:NC_002516.2,7,17,12,36,15,5,11,2,2
AS_CDS:PA2153:glgB:glycogen_branching_protein:cds2155:+:2198:NC_002516.2,8,31,17,26,7,6,13,4,0
CDS:PA2154:-:hypothetical_protein:cds2156:-:995:NC_002516.2,0,13,12,8,0,0,12,3,0
AS_CDS:PA2154:-:hypothetical_protein:cds2156:-:995:NC_002516.2,6,11,2,6,3,2,5,3,0
